"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (C)	Avg Daily Min Air Temperature (C)
	"Owyhee County, ID"	"16073"	13.55	4.47
	"Payette County, ID"	"16075"	17.45	7.78
	"Power County, ID"	"16077"	12.84	2.94
	"Shoshone County, ID"	"16079"	10.27	1.69
	"Teton County, ID"	"16081"	8.50	-0.54
	"Twin Falls County, ID"	"16083"	13.89	4.33
	"Valley County, ID"	"16085"	7.81	-1.23
	"Washington County, ID"	"16087"	14.07	4.94
	"Adams County, IL"	"17001"	17.02	6.75
	"Alexander County, IL"	"17003"	19.97	9.57
	"Bond County, IL"	"17005"	18.13	8.18
	"Boone County, IL"	"17007"	14.06	4.25
	"Brown County, IL"	"17009"	17.15	6.94
	"Bureau County, IL"	"17011"	15.32	5.21
	"Calhoun County, IL"	"17013"	18.10	7.74
	"Carroll County, IL"	"17015"	14.48	4.33
	"Cass County, IL"	"17017"	17.22	7.12
	"Champaign County, IL"	"17019"	16.57	6.83
	"Christian County, IL"	"17021"	17.34	7.45
	"Clark County, IL"	"17023"	17.39	7.79
	"Clay County, IL"	"17025"	18.18	8.55
	"Clinton County, IL"	"17027"	18.50	8.44
	"Coles County, IL"	"17029"	17.15	7.44
	"Cook County, IL"	"17031"	14.57	5.49
	"Crawford County, IL"	"17033"	17.81	8.23
	"Cumberland County, IL"	"17035"	17.52	7.91
	"DeKalb County, IL"	"17037"	14.37	4.97
	"De Witt County, IL"	"17039"	16.59	6.84
	"Douglas County, IL"	"17041"	17.04	7.34
	"DuPage County, IL"	"17043"	14.42	5.14
	"Edgar County, IL"	"17045"	16.99	7.27
	"Edwards County, IL"	"17047"	18.59	8.44
	"Effingham County, IL"	"17049"	17.74	8.10
	"Fayette County, IL"	"17051"	17.86	7.99
	"Ford County, IL"	"17053"	16.03	6.57
	"Franklin County, IL"	"17055"	18.98	8.99
	"Fulton County, IL"	"17057"	16.66	6.47
	"Gallatin County, IL"	"17059"	19.23	9.09
	"Greene County, IL"	"17061"	17.80	7.59
	"Grundy County, IL"	"17063"	15.54	5.66
	"Hamilton County, IL"	"17065"	18.93	8.85
	"Hancock County, IL"	"17067"	16.73	6.46
	"Hardin County, IL"	"17069"	19.17	8.96
	"Henderson County, IL"	"17071"	16.25	6.09
	"Henry County, IL"	"17073"	15.34	5.21
	"Iroquois County, IL"	"17075"	15.98	6.18
	"Jackson County, IL"	"17077"	19.11	8.95
	"Jasper County, IL"	"17079"	17.81	8.29
	"Jefferson County, IL"	"17081"	18.58	8.85
	"Jersey County, IL"	"17083"	18.08	7.87
	"Jo Daviess County, IL"	"17085"	13.88	3.97
	"Johnson County, IL"	"17087"	19.13	9.37
	"Kane County, IL"	"17089"	14.29	4.98
	"Kankakee County, IL"	"17091"	15.64	5.83
	"Kendall County, IL"	"17093"	14.93	5.24
	"Knox County, IL"	"17095"	15.89	5.76
	"Lake County, IL"	"17097"	13.78	5.08
	"LaSalle County, IL"	"17099"	15.45	5.58
	"Lawrence County, IL"	"17101"	18.29	8.27
	"Lee County, IL"	"17103"	14.80	5.16
	"Livingston County, IL"	"17105"	15.88	6.24
	"Logan County, IL"	"17107"	16.85	6.93
	"McDonough County, IL"	"17109"	16.66	6.44
	"McHenry County, IL"	"17111"	13.85	4.36
	"McLean County, IL"	"17113"	16.15	6.70
	"Macon County, IL"	"17115"	16.86	7.08
	"Macoupin County, IL"	"17117"	17.68	7.58
	"Madison County, IL"	"17119"	18.32	8.28
	"Marion County, IL"	"17121"	18.18	8.50
	"Marshall County, IL"	"17123"	15.87	5.77
	"Mason County, IL"	"17125"	17.05	6.92
	"Massac County, IL"	"17127"	19.64	9.32
	"Menard County, IL"	"17129"	17.09	7.04
	"Mercer County, IL"	"17131"	15.68	5.57
	"Monroe County, IL"	"17133"	18.88	8.58
	"Montgomery County, IL"	"17135"	17.63	7.65
	"Morgan County, IL"	"17137"	17.30	7.18
	"Moultrie County, IL"	"17139"	17.11	7.38
	"Ogle County, IL"	"17141"	14.33	4.55
	"Peoria County, IL"	"17143"	16.12	5.94
	"Perry County, IL"	"17145"	18.86	8.58
	"Piatt County, IL"	"17147"	16.74	7.01
	"Pike County, IL"	"17149"	17.43	7.14
	"Pope County, IL"	"17151"	19.16	8.91
	"Pulaski County, IL"	"17153"	19.76	9.45
	"Putnam County, IL"	"17155"	15.68	5.51
	"Randolph County, IL"	"17157"	19.06	8.80
	"Richland County, IL"	"17159"	18.14	8.28
	"Rock Island County, IL"	"17161"	15.33	5.21
	"St. Clair County, IL"	"17163"	18.68	8.47
	"Saline County, IL"	"17165"	19.11	9.09
	"Sangamon County, IL"	"17167"	17.28	7.32
	"Schuyler County, IL"	"17169"	17.02	6.84
	"Scott County, IL"	"17171"	17.49	7.27
	"Shelby County, IL"	"17173"	17.35	7.55
	"Stark County, IL"	"17175"	15.61	5.43
	"Stephenson County, IL"	"17177"	13.91	3.94
	"Tazewell County, IL"	"17179"	16.54	6.41
	"Union County, IL"	"17181"	19.21	9.18
	"Vermilion County, IL"	"17183"	16.57	6.78
	"Wabash County, IL"	"17185"	18.61	8.50
	"Warren County, IL"	"17187"	16.09	5.94
	"Washington County, IL"	"17189"	18.68	8.51
	"Wayne County, IL"	"17191"	18.61	8.64
	"White County, IL"	"17193"	19.01	8.84
	"Whiteside County, IL"	"17195"	15.11	4.87
	"Will County, IL"	"17197"	15.13	5.44
	"Williamson County, IL"	"17199"	19.02	9.58
	"Winnebago County, IL"	"17201"	14.18	4.25
	"Woodford County, IL"	"17203"	16.06	6.06
	"Adams County, IN"	"18001"	15.87	6.55
	"Allen County, IN"	"18003"	15.58	6.24
	"Bartholomew County, IN"	"18005"	17.16	7.97
	"Benton County, IN"	"18007"	16.01	6.31
	"Blackford County, IN"	"18009"	15.96	6.53
	"Boone County, IN"	"18011"	16.11	6.90
	"Brown County, IN"	"18013"	17.03	7.64
	"Carroll County, IN"	"18015"	16.14	6.51
	"Cass County, IN"	"18017"	15.96	6.57
	"Clark County, IN"	"18019"	18.06	8.77
	"Clay County, IN"	"18021"	17.15	7.69
	"Clinton County, IN"	"18023"	16.08	6.75
	"Crawford County, IN"	"18025"	18.34	8.67
	"Daviess County, IN"	"18027"	18.15	8.67
	"Dearborn County, IN"	"18029"	17.22	7.51
	"Decatur County, IN"	"18031"	16.77	7.57
	"De Kalb County, IN"	"18033"	14.98	5.70
	"Delaware County, IN"	"18035"	16.11	6.86
	"Dubois County, IN"	"18037"	18.56	8.86
	"Elkhart County, IN"	"18039"	14.90	5.62
	"Fayette County, IN"	"18041"	16.60	7.01
	"Floyd County, IN"	"18043"	18.32	8.77
	"Fountain County, IN"	"18045"	16.57	6.82
	"Franklin County, IN"	"18047"	16.81	7.25
	"Fulton County, IN"	"18049"	15.73	6.23
	"Gibson County, IN"	"18051"	18.72	8.60
	"Grant County, IN"	"18053"	16.02	6.57
	"Greene County, IN"	"18055"	17.68	8.17
	"Hamilton County, IN"	"18057"	16.28	6.95
	"Hancock County, IN"	"18059"	16.39	7.11
	"Harrison County, IN"	"18061"	18.44	8.78
	"Hendricks County, IN"	"18063"	16.37	7.27
	"Henry County, IN"	"18065"	16.10	7.14
	"Howard County, IN"	"18067"	16.06	6.62
	"Huntington County, IN"	"18069"	15.89	6.43
	"Jackson County, IN"	"18071"	17.66	8.13
	"Jasper County, IN"	"18073"	15.66	5.89
	"Jay County, IN"	"18075"	15.98	6.62
	"Jefferson County, IN"	"18077"	17.42	8.35
	"Jennings County, IN"	"18079"	17.30	8.19
	"Johnson County, IN"	"18081"	16.76	7.58
	"Knox County, IN"	"18083"	18.35	8.57
	"Kosciusko County, IN"	"18085"	15.41	5.90
	"Lagrange County, IN"	"18087"	14.74	5.31
	"Lake County, IN"	"18089"	15.17	5.70
	"La Porte County, IN"	"18091"	14.91	5.91
	"Lawrence County, IN"	"18093"	17.63	7.98
	"Madison County, IN"	"18095"	16.19	6.85
	"Marion County, IN"	"18097"	16.57	7.34
	"Marshall County, IN"	"18099"	15.33	6.02
	"Martin County, IN"	"18101"	18.05	8.52
	"Miami County, IN"	"18103"	15.92	6.44
	"Monroe County, IN"	"18105"	17.07	7.39
	"Montgomery County, IN"	"18107"	16.40	6.85
	"Morgan County, IN"	"18109"	16.86	7.51
	"Newton County, IN"	"18111"	15.83	6.01
	"Noble County, IN"	"18113"	14.97	5.48
	"Ohio County, IN"	"18115"	17.42	7.80
	"Orange County, IN"	"18117"	18.02	8.37
	"Owen County, IN"	"18119"	17.10	7.77
	"Parke County, IN"	"18121"	16.86	7.56
	"Perry County, IN"	"18123"	18.79	9.00
	"Pike County, IN"	"18125"	18.55	8.57
	"Porter County, IN"	"18127"	15.08	5.66
	"Posey County, IN"	"18129"	19.09	8.94
	"Pulaski County, IN"	"18131"	15.85	6.14
	"Putnam County, IN"	"18133"	16.60	7.59
	"Randolph County, IN"	"18135"	15.94	6.96
	"Ripley County, IN"	"18137"	16.96	7.74
	"Rush County, IN"	"18139"	16.41	6.97
	"St. Joseph County, IN"	"18141"	14.93	6.00
	"Scott County, IN"	"18143"	17.80	8.58
	"Shelby County, IN"	"18145"	16.75	7.50
	"Spencer County, IN"	"18147"	18.97	8.85
	"Starke County, IN"	"18149"	15.42	5.95
	"Steuben County, IN"	"18151"	14.44	5.15
	"Sullivan County, IN"	"18153"	17.69	8.27
	"Switzerland County, IN"	"18155"	17.53	8.13
	"Tippecanoe County, IN"	"18157"	16.29	6.59
	"Tipton County, IN"	"18159"	16.08	6.74
	"Union County, IN"	"18161"	16.52	7.03
	"Vanderburgh County, IN"	"18163"	19.02	8.87
	"Vermillion County, IN"	"18165"	16.98	7.32
	"Vigo County, IN"	"18167"	17.38	7.80
	"Wabash County, IN"	"18169"	15.96	6.45
	"Warren County, IN"	"18171"	16.37	6.62
	"Warrick County, IN"	"18173"	19.01	8.85
	"Washington County, IN"	"18175"	17.65	8.19
	"Wayne County, IN"	"18177"	16.13	7.23
	"Wells County, IN"	"18179"	15.85	6.50
	"White County, IN"	"18181"	16.04	6.32
	"Whitley County, IN"	"18183"	15.38	5.88
	"Adair County, IA"	"19001"	14.98	4.68
	"Adams County, IA"	"19003"	15.64	5.23
	"Allamakee County, IA"	"19005"	13.10	2.96
	"Appanoose County, IA"	"19007"	15.63	5.20
	"Audubon County, IA"	"19009"	14.71	4.03
	"Benton County, IA"	"19011"	14.58	4.46
	"Black Hawk County, IA"	"19013"	14.20	3.80
	"Boone County, IA"	"19015"	14.41	4.31
	"Bremer County, IA"	"19017"	13.73	3.53
	"Buchanan County, IA"	"19019"	14.01	3.91
	"Buena Vista County, IA"	"19021"	13.87	3.24
	"Butler County, IA"	"19023"	13.86	3.49
	"Calhoun County, IA"	"19025"	14.26	3.89
	"Carroll County, IA"	"19027"	14.54	3.93
	"Cass County, IA"	"19029"	15.49	4.77
	"Cedar County, IA"	"19031"	14.78	4.81
	"Cerro Gordo County, IA"	"19033"	13.24	3.41
	"Cherokee County, IA"	"19035"	13.94	2.95
	"Chickasaw County, IA"	"19037"	13.18	3.20
	"Clarke County, IA"	"19039"	15.26	5.31
	"Clay County, IA"	"19041"	13.38	2.74
	"Clayton County, IA"	"19043"	13.47	3.27
	"Clinton County, IA"	"19045"	14.76	4.76
	"Crawford County, IA"	"19047"	14.74	3.88
	"Dallas County, IA"	"19049"	14.92	4.43
	"Davis County, IA"	"19051"	15.84	5.74
	"Decatur County, IA"	"19053"	15.62	5.26
	"Delaware County, IA"	"19055"	13.75	3.67
	"Des Moines County, IA"	"19057"	16.02	5.84
	"Dickinson County, IA"	"19059"	12.94	2.96
	"Dubuque County, IA"	"19061"	13.68	3.62
	"Emmet County, IA"	"19063"	13.05	2.66
	"Fayette County, IA"	"19065"	13.25	3.56
	"Floyd County, IA"	"19067"	13.46	3.59
	"Franklin County, IA"	"19069"	13.52	3.58
	"Fremont County, IA"	"19071"	16.77	5.55
	"Greene County, IA"	"19073"	14.56	4.37
	"Grundy County, IA"	"19075"	13.98	3.54
	"Guthrie County, IA"	"19077"	14.80	4.41
	"Hamilton County, IA"	"19079"	13.96	4.20
	"Hancock County, IA"	"19081"	13.26	3.26
	"Hardin County, IA"	"19083"	13.80	3.88
	"Harrison County, IA"	"19085"	15.76	4.58
	"Henry County, IA"	"19087"	16.00	5.69
	"Howard County, IA"	"19089"	12.65	2.64
	"Humboldt County, IA"	"19091"	13.89	3.68
	"Ida County, IA"	"19093"	14.30	3.44
	"Iowa County, IA"	"19095"	15.01	5.00
	"Jackson County, IA"	"19097"	14.29	4.47
	"Jasper County, IA"	"19099"	14.85	4.54
	"Jefferson County, IA"	"19101"	15.63	5.41
	"Johnson County, IA"	"19103"	15.18	5.17
	"Jones County, IA"	"19105"	14.21	4.44
	"Keokuk County, IA"	"19107"	15.36	5.40
	"Kossuth County, IA"	"19109"	13.35	3.26
	"Lee County, IA"	"19111"	16.44	6.11
	"Linn County, IA"	"19113"	14.56	4.65
	"Louisa County, IA"	"19115"	15.79	5.60
	"Lucas County, IA"	"19117"	15.29	4.91
	"Lyon County, IA"	"19119"	13.67	2.72
	"Madison County, IA"	"19121"	15.10	4.82
	"Mahaska County, IA"	"19123"	15.37	5.12
	"Marion County, IA"	"19125"	15.37	4.98
	"Marshall County, IA"	"19127"	14.27	3.93
	"Mills County, IA"	"19129"	16.44	5.53
	"Mitchell County, IA"	"19131"	12.91	2.98
	"Monona County, IA"	"19133"	15.46	4.16
	"Monroe County, IA"	"19135"	15.47	5.07
	"Montgomery County, IA"	"19137"	16.01	5.22
	"Muscatine County, IA"	"19139"	15.40	5.19
	"O'Brien County, IA"	"19141"	13.53	2.98
	"Osceola County, IA"	"19143"	12.97	3.03
	"Page County, IA"	"19145"	16.27	5.39
	"Palo Alto County, IA"	"19147"	13.49	3.06
	"Plymouth County, IA"	"19149"	14.44	3.20
	"Pocahontas County, IA"	"19151"	13.91	3.54
	"Polk County, IA"	"19153"	14.94	4.50
	"Pottawattamie County, IA"	"19155"	15.90	5.00
	"Poweshiek County, IA"	"19157"	14.82	4.58
	"Ringgold County, IA"	"19159"	15.58	5.43
	"Sac County, IA"	"19161"	14.30	3.64
	"Scott County, IA"	"19163"	15.11	4.98
	"Shelby County, IA"	"19165"	15.22	4.29
	"Sioux County, IA"	"19167"	13.99	2.73
	"Story County, IA"	"19169"	14.36	4.11
	"Tama County, IA"	"19171"	14.45	4.16
	"Taylor County, IA"	"19173"	15.84	5.48
	"Union County, IA"	"19175"	15.22	5.12
	"Van Buren County, IA"	"19177"	16.10	5.87
	"Wapello County, IA"	"19179"	15.64	5.55
	"Warren County, IA"	"19181"	15.22	4.75
	"Washington County, IA"	"19183"	15.49	5.26
	"Wayne County, IA"	"19185"	15.47	4.93
	"Webster County, IA"	"19187"	14.15	4.04
	"Winnebago County, IA"	"19189"	12.98	2.98
	"Winneshiek County, IA"	"19191"	12.92	2.98
	"Woodbury County, IA"	"19193"	14.88	3.62
	"Worth County, IA"	"19195"	12.90	2.94
	"Wright County, IA"	"19197"	13.64	3.73
	"Allen County, KS"	"20001"	19.55	8.00
	"Anderson County, KS"	"20003"	19.05	7.98
	"Atchison County, KS"	"20005"	17.94	7.15
	"Barber County, KS"	"20007"	21.84	9.27
	"Barton County, KS"	"20009"	20.26	7.98
	"Bourbon County, KS"	"20011"	19.63	8.25
	"Brown County, KS"	"20013"	17.70	6.61
	"Butler County, KS"	"20015"	19.82	8.79
	"Chase County, KS"	"20017"	19.27	7.99
	"Chautauqua County, KS"	"20019"	21.08	8.93
	"Cherokee County, KS"	"20021"	20.46	9.11
	"Cheyenne County, KS"	"20023"	19.13	6.41
	"Clark County, KS"	"20025"	22.26	8.74
	"Clay County, KS"	"20027"	18.92	6.86
	"Cloud County, KS"	"20029"	18.75	6.80
	"Coffey County, KS"	"20031"	19.21	8.36
	"Comanche County, KS"	"20033"	21.96	9.15
	"Cowley County, KS"	"20035"	20.76	8.86
	"Crawford County, KS"	"20037"	19.97	8.60
	"Decatur County, KS"	"20039"	19.31	7.04
	"Dickinson County, KS"	"20041"	19.46	7.81
	"Doniphan County, KS"	"20043"	17.64	6.32
	"Douglas County, KS"	"20045"	18.66	7.15
	"Edwards County, KS"	"20047"	20.96	8.32
	"Elk County, KS"	"20049"	20.42	8.69
	"Ellis County, KS"	"20051"	20.08	7.29
	"Ellsworth County, KS"	"20053"	19.85	7.72
	"Finney County, KS"	"20055"	21.42	7.63
	"Ford County, KS"	"20057"	21.12	8.23
	"Franklin County, KS"	"20059"	18.86	7.86
	"Geary County, KS"	"20061"	19.06	7.41
	"Gove County, KS"	"20063"	20.40	7.35
	"Graham County, KS"	"20065"	19.75	7.42
	"Grant County, KS"	"20067"	22.09	7.92
	"Gray County, KS"	"20069"	21.40	7.67
	"Greeley County, KS"	"20071"	20.22	7.21
	"Greenwood County, KS"	"20073"	19.69	8.39
	"Hamilton County, KS"	"20075"	21.18	7.65
	"Harper County, KS"	"20077"	21.83	8.94
	"Harvey County, KS"	"20079"	20.28	8.34
	"Haskell County, KS"	"20081"	21.61	7.96
	"Hodgeman County, KS"	"20083"	21.20	7.86
	"Jackson County, KS"	"20085"	18.11	7.26
	"Jefferson County, KS"	"20087"	18.29	7.17
	"Jewell County, KS"	"20089"	18.46	6.47
	"Johnson County, KS"	"20091"	18.38	7.07
	"Kearny County, KS"	"20093"	21.39	7.71
	"Kingman County, KS"	"20095"	21.07	8.68
	"Kiowa County, KS"	"20097"	21.18	8.87
	"Labette County, KS"	"20099"	20.57	9.15
	"Lane County, KS"	"20101"	20.78	7.76
	"Leavenworth County, KS"	"20103"	18.35	7.05
	"Lincoln County, KS"	"20105"	19.67	7.50
	"Linn County, KS"	"20107"	19.15	7.75
	"Logan County, KS"	"20109"	20.39	7.20
	"Lyon County, KS"	"20111"	19.11	7.79
	"McPherson County, KS"	"20113"	19.95	8.12
	"Marion County, KS"	"20115"	19.62	8.37
	"Marshall County, KS"	"20117"	17.96	6.35
	"Meade County, KS"	"20119"	22.05	8.58
	"Miami County, KS"	"20121"	18.69	7.36
	"Mitchell County, KS"	"20123"	19.23	7.25
	"Montgomery County, KS"	"20125"	20.93	9.17
	"Morris County, KS"	"20127"	18.88	7.51
	"Morton County, KS"	"20129"	22.15	8.55
	"Nemaha County, KS"	"20131"	17.65	6.54
	"Neosho County, KS"	"20133"	20.07	8.47
	"Ness County, KS"	"20135"	20.77	7.65
	"Norton County, KS"	"20137"	19.28	7.07
	"Osage County, KS"	"20139"	18.82	7.99
	"Osborne County, KS"	"20141"	19.39	7.33
	"Ottawa County, KS"	"20143"	19.49	7.30
	"Pawnee County, KS"	"20145"	20.81	7.74
	"Phillips County, KS"	"20147"	19.15	6.74
	"Pottawatomie County, KS"	"20149"	18.42	7.00
	"Pratt County, KS"	"20151"	20.95	8.59
	"Rawlins County, KS"	"20153"	19.36	6.69
	"Reno County, KS"	"20155"	20.72	8.08
	"Republic County, KS"	"20157"	18.18	6.57
	"Rice County, KS"	"20159"	20.32	7.76
	"Riley County, KS"	"20161"	18.66	7.00
	"Rooks County, KS"	"20163"	19.79	7.46
	"Rush County, KS"	"20165"	20.61	7.42
	"Russell County, KS"	"20167"	20.03	7.93
	"Saline County, KS"	"20169"	19.95	7.75
	"Scott County, KS"	"20171"	20.76	7.80
	"Sedgwick County, KS"	"20173"	20.71	8.15
	"Seward County, KS"	"20175"	22.24	8.44
	"Shawnee County, KS"	"20177"	18.69	7.67
	"Sheridan County, KS"	"20179"	19.75	7.45
	"Sherman County, KS"	"20181"	19.08	6.86
	"Smith County, KS"	"20183"	18.91	6.69
	"Stafford County, KS"	"20185"	20.83	7.93
	"Stanton County, KS"	"20187"	21.90	8.44
	"Stevens County, KS"	"20189"	22.24	8.46
	"Sumner County, KS"	"20191"	21.37	8.97
	"Thomas County, KS"	"20193"	19.47	7.08
	"Trego County, KS"	"20195"	20.36	7.34
	"Wabaunsee County, KS"	"20197"	18.54	7.30
	"Wallace County, KS"	"20199"	19.70	7.11
	"Washington County, KS"	"20201"	18.09	6.27
	"Wichita County, KS"	"20203"	20.52	7.60
	"Wilson County, KS"	"20205"	20.34	8.38
	"Woodson County, KS"	"20207"	19.77	8.12
	"Wyandotte County, KS"	"20209"	18.37	7.11
	"Adair County, KY"	"21001"	18.75	9.06
	"Allen County, KY"	"21003"	19.28	9.82
	"Anderson County, KY"	"21005"	18.01	8.57
	"Ballard County, KY"	"21007"	19.96	9.61
	"Barren County, KY"	"21009"	19.00	9.34
	"Bath County, KY"	"21011"	17.94	8.20
	"Bell County, KY"	"21013"	17.79	8.61
	"Boone County, KY"	"21015"	17.48	7.75
	"Bourbon County, KY"	"21017"	17.62	8.00
	"Boyd County, KY"	"21019"	18.04	8.23
	"Boyle County, KY"	"21021"	18.00	8.42
	"Bracken County, KY"	"21023"	17.52	7.98
	"Breathitt County, KY"	"21025"	18.40	9.00
	"Breckinridge County, KY"	"21027"	18.76	8.84
	"Bullitt County, KY"	"21029"	18.60	8.83
	"Butler County, KY"	"21031"	19.28	9.37
	"Caldwell County, KY"	"21033"	19.53	9.42
	"Calloway County, KY"	"21035"	20.16	9.91
	"Campbell County, KY"	"21037"	17.57	7.91
	"Carlisle County, KY"	"21039"	20.25	9.92
	"Carroll County, KY"	"21041"	17.75	8.47
	"Carter County, KY"	"21043"	17.71	8.02
	"Casey County, KY"	"21045"	18.34	8.74
	"Christian County, KY"	"21047"	19.56	9.64
	"Clark County, KY"	"21049"	17.91	8.20
	"Clay County, KY"	"21051"	18.36	8.92
	"Clinton County, KY"	"21053"	18.85	9.27
	"Crittenden County, KY"	"21055"	19.41	9.09
	"Cumberland County, KY"	"21057"	19.20	9.60
	"Daviess County, KY"	"21059"	19.24	9.04
	"Edmonson County, KY"	"21061"	18.96	9.13
	"Elliott County, KY"	"21063"	17.78	8.06
	"Estill County, KY"	"21065"	18.32	8.51
	"Fayette County, KY"	"21067"	17.61	8.04
	"Fleming County, KY"	"21069"	17.63	7.94
	"Floyd County, KY"	"21071"	18.35	9.11
	"Franklin County, KY"	"21073"	17.87	8.52
	"Fulton County, KY"	"21075"	20.78	10.22
	"Gallatin County, KY"	"21077"	17.71	8.08
	"Garrard County, KY"	"21079"	18.16	8.68
	"Grant County, KY"	"21081"	17.47	7.81
	"Graves County, KY"	"21083"	20.13	10.02
	"Grayson County, KY"	"21085"	18.81	8.93
	"Green County, KY"	"21087"	18.77	9.25
	"Greenup County, KY"	"21089"	17.88	8.19
	"Hancock County, KY"	"21091"	18.96	9.06
	"Hardin County, KY"	"21093"	18.54	8.79
	"Harlan County, KY"	"21095"	16.87	8.33
	"Harrison County, KY"	"21097"	17.62	8.04
	"Hart County, KY"	"21099"	18.75	9.04
	"Henderson County, KY"	"21101"	19.27	9.08
	"Henry County, KY"	"21103"	17.69	8.42
	"Hickman County, KY"	"21105"	20.53	10.12
	"Hopkins County, KY"	"21107"	19.50	9.61
	"Jackson County, KY"	"21109"	17.97	8.47
	"Jefferson County, KY"	"21111"	18.45	8.67
	"Jessamine County, KY"	"21113"	17.88	8.31
	"Johnson County, KY"	"21115"	18.35	8.64
	"Kenton County, KY"	"21117"	17.42	7.71
	"Knott County, KY"	"21119"	17.97	8.82
	"Knox County, KY"	"21121"	18.46	8.96
	"Larue County, KY"	"21123"	18.42	9.13
	"Laurel County, KY"	"21125"	18.38	9.02
	"Lawrence County, KY"	"21127"	18.27	8.54
	"Lee County, KY"	"21129"	18.30	8.43
	"Leslie County, KY"	"21131"	17.81	8.81
	"Letcher County, KY"	"21133"	17.51	8.82
	"Lewis County, KY"	"21135"	17.46	7.80
	"Lincoln County, KY"	"21137"	18.04	8.72
	"Livingston County, KY"	"21139"	19.65	9.32
	"Logan County, KY"	"21141"	19.45	9.53
	"Lyon County, KY"	"21143"	19.88	9.52
	"McCracken County, KY"	"21145"	19.87	9.54
	"McCreary County, KY"	"21147"	18.83	9.36
	"McLean County, KY"	"21149"	19.42	9.09
	"Madison County, KY"	"21151"	18.10	8.45
	"Magoffin County, KY"	"21153"	18.19	8.65
	"Marion County, KY"	"21155"	18.37	8.95
	"Marshall County, KY"	"21157"	20.02	9.65
	"Martin County, KY"	"21159"	18.26	8.64
	"Mason County, KY"	"21161"	17.47	7.87
	"Meade County, KY"	"21163"	18.69	8.85
	"Menifee County, KY"	"21165"	17.73	7.94
	"Mercer County, KY"	"21167"	18.03	8.47
	"Metcalfe County, KY"	"21169"	18.78	9.14
	"Monroe County, KY"	"21171"	19.12	9.53
	"Montgomery County, KY"	"21173"	17.98	8.20
	"Morgan County, KY"	"21175"	17.96	8.19
	"Muhlenberg County, KY"	"21177"	19.43	9.21
	"Nelson County, KY"	"21179"	18.56	9.04
	"Nicholas County, KY"	"21181"	17.65	8.01
	"Ohio County, KY"	"21183"	19.22	9.12
	"Oldham County, KY"	"21185"	18.00	8.57
	"Owen County, KY"	"21187"	17.56	8.06
	"Owsley County, KY"	"21189"	18.37	8.81
	"Pendleton County, KY"	"21191"	17.59	7.94
	"Perry County, KY"	"21193"	18.22	9.12
	"Pike County, KY"	"21195"	18.05	8.92
	"Powell County, KY"	"21197"	18.13	8.31
	"Pulaski County, KY"	"21199"	18.52	8.97
	"Robertson County, KY"	"21201"	17.60	8.03
	"Rockcastle County, KY"	"21203"	18.06	8.95
	"Rowan County, KY"	"21205"	17.71	7.99
	"Russell County, KY"	"21207"	18.69	8.92
	"Scott County, KY"	"21209"	17.62	8.14
	"Shelby County, KY"	"21211"	17.81	8.33
	"Simpson County, KY"	"21213"	19.29	9.63
	"Spencer County, KY"	"21215"	18.30	8.67
	"Taylor County, KY"	"21217"	18.45	9.03
	"Todd County, KY"	"21219"	19.51	9.56
	"Trigg County, KY"	"21221"	19.90	9.66
	"Trimble County, KY"	"21223"	17.60	8.47
	"Union County, KY"	"21225"	19.40	9.12
	"Warren County, KY"	"21227"	19.30	9.47
	"Washington County, KY"	"21229"	18.33	8.86
	"Wayne County, KY"	"21231"	18.73	9.13
	"Webster County, KY"	"21233"	19.40	9.13
	"Whitley County, KY"	"21235"	18.68	9.21
	"Wolfe County, KY"	"21237"	18.06	8.28
	"Woodford County, KY"	"21239"	17.88	8.44
	"Acadia Parish, LA"	"22001"	26.33	14.38
	"Allen Parish, LA"	"22003"	26.54	13.66
	"Ascension Parish, LA"	"22005"	26.65	14.24
	"Assumption Parish, LA"	"22007"	26.71	14.77
	"Avoyelles Parish, LA"	"22009"	26.87	13.80
	"Beauregard Parish, LA"	"22011"	26.69	13.77
	"Bienville Parish, LA"	"22013"	26.45	12.67
	"Bossier Parish, LA"	"22015"	26.48	12.51
	"Caddo Parish, LA"	"22017"	26.61	12.80
	"Calcasieu Parish, LA"	"22019"	26.48	14.61
	"Caldwell Parish, LA"	"22021"	26.40	13.37
	"Cameron Parish, LA"	"22023"	25.24	16.93
	"Catahoula Parish, LA"	"22025"	26.69	13.52
	"Claiborne Parish, LA"	"22027"	25.90	12.70
	"Concordia Parish, LA"	"22029"	26.69	13.62
	"De Soto Parish, LA"	"22031"	26.94	12.99
	"East Baton Rouge Parish, LA"	"22033"	26.46	14.05
	"East Carroll Parish, LA"	"22035"	25.57	13.10
	"East Feliciana Parish, LA"	"22037"	26.03	14.25
	"Evangeline Parish, LA"	"22039"	26.44	14.12
	"Franklin Parish, LA"	"22041"	26.34	13.40
	"Grant Parish, LA"	"22043"	26.72	13.40
	"Iberia Parish, LA"	"22045"	25.40	16.41
	"Iberville Parish, LA"	"22047"	26.67	14.17
	"Jackson Parish, LA"	"22049"	26.18	12.81
	"Jefferson Parish, LA"	"22051"	26.14	16.38
	"Jefferson Davis Parish, LA"	"22053"	26.44	14.15
	"Lafayette Parish, LA"	"22055"	26.17	14.58
	"Lafourche Parish, LA"	"22057"	26.04	16.50
	"LaSalle Parish, LA"	"22059"	26.64	13.44
